Customer ID,Balance,Balance Frquency,Purchases,One-Off Purchases,Installments Purchased,Cash Advance,Purchase Frequency,One-Off Purchase Frequency,Installments Purchase Frequency,Cash Advance Frquency,Cash Advance TRX,Purchases TRX,Credit Limit,Payments,Minimum Payment,PRC Full Payment,Tenure,Cluster
C10060,601.92037,1,983.77,603.77,380,0,0.666667,0.416667,0.25,0,0,15,2400,389.411161,219.465695,0,12,2
C10061,8.520292,0.545455,64.12,64.12,0,0,0.166667,0.166667,0,0,0,2,7000,176.600545,76.462301,0,12,4
C10062,143.443832,0.636364,1631,0,1631,0,0.583333,0,0.583333,0,0,7,2500,2550.799492,157.269321,1,12,2
C10063,241.223955,0.909091,180.91,180.91,0,0,0.166667,0.166667,0,0,0,6,1400,802.858576,220.455533,0,12,4
C10064,1508.513765,0.818182,2747.12,1247.12,1500,246.046033,0.25,0.083333,0.166667,0.083333,1,4,5000,4730.374245,481.558276,0.1,12,1
C10067,201.3504,1,600,0,600,0,0.5,0,0.416667,0,0,6,1000,249.066308,184.776562,0,12,2
C10068,4664.023286,1,340,340,0,3510.115735,0.083333,0.083333,0,0.25,8,1,6000,2162.141639,2009.821743,0,12,3
C10069,681.615445,1,4117.24,290,3827.24,0,1,0.166667,1,0,0,229,6000,4561.589382,199.730537,0,12,1
C10070,5055.582822,1,0,0,0,3435.737817,0,0,0,0.090909,1,0,9000,6918.272206,1035.039239,0,11,3
C10071,4245.550244,1,332.82,0,332.82,6649.712062,1,0,1,0.666667,24,25,5000,5810.994681,1284.011712,0,12,3
C10072,541.915572,0.636364,1377.72,1377.72,0,0,0.25,0.25,0,0,0,5,2500,182.177646,200.759856,0,12,4
C10073,4855.340797,1,0,0,0,1886.470361,0,0,0,0.083333,2,0,6000,2996.735376,1855.766226,0,12,3
C10074,1036.595935,1,0,0,0,193.738137,0,0,0,0.083333,1,0,1200,274.653536,327.072615,0,12,4
C10075,21.12921,0.545455,229.5,54,175.5,0,0.5,0.083333,0.416667,0,0,7,3150,423.206638,157.471831,0.714286,12,2
C10077,1534.969344,1,1476.19,1476.19,0,0,1,1,0,0,0,23,2500,1493.919986,382.989143,0,12,2
C10078,869.001444,1,0,0,0,278.591282,0,0,0,0.083333,1,0,1200,541.101815,286.374289,0,12,4
C10079,2070.069187,1,1382.57,1077.75,304.82,0,1,0.666667,0.833333,0,0,33,2400,1580.0815,466.772558,0,12,2
C10080,52.229659,1,565.5,0,565.5,101.137379,1,0,1,0.083333,1,14,8500,2768.795805,199.803721,0.25,12,2
C10081,456.648662,1,3355.33,2305.33,1050,0,0.916667,0.583333,0.833333,0,0,27,6500,2087.871747,207.584121,0.363636,12,1
C10082,473.840442,0.727273,0,0,0,818.124484,0,0,0,0.333333,12,0,3000,142.286073,164.391437,0,12,4
C10083,126.207012,0.636364,913,0,913,0,0.416667,0,0.333333,0,0,5,7500,1718.487894,140.181283,1,12,2
C10084,2516.753364,1,606.62,598.95,7.67,0,0.833333,0.833333,0.083333,0,0,14,2750,1043.617154,1342.522124,0,12,2
C10085,1199.942209,1,1447.01,306.31,1140.7,49.912813,0.916667,0.166667,0.916667,0.083333,1,19,2400,642.723723,457.255269,0,12,2
C10086,1534.891604,1,0,0,0,2614.626296,0,0,0,0.25,8,0,3000,304.984801,427.594038,0,12,4
C10087,2569.379868,1,972.65,162.95,809.7,1390.367155,0.583333,0.166667,0.5,0.166667,5,15,5500,807.047622,590.361005,0,12,2
C10088,1296.922119,1,2327.49,2327.49,0,1873.271885,0.666667,0.666667,0,0.25,6,18,6000,2322.412643,360.670758,0,12,1
C10089,2154.175363,1,1628.07,1628.07,0,0,0.333333,0.333333,0,0,0,8,5000,654.505745,507.655831,0,12,4
C10090,0.327199,0.454545,24.64,24.64,0,0,0.083333,0.083333,0,0,0,1,1800,45.640106,26.849523,0,12,4
C10092,47.424621,0.545455,372,273.6,98.4,0,0.333333,0.166667,0.25,0,0,7,4000,662.401178,149.47264,0.2,12,4
C10093,202.190447,0.545455,2011.81,2011.81,0,0,0.416667,0.416667,0,0,0,8,2100,3144.544042,165.070133,0.8,12,2
C10094,2.175751,0.454545,0,0,0,136.662804,0,0,0,0.083333,1,0,3000,278.731912,56.686755,0.2,12,4
C10095,1062.752143,1,0,0,0,496.76383,0,0,0,0.166667,3,0,1200,720.3446,369.566083,0,12,4
C10096,15.728894,0.272727,202,202,0,0,0.166667,0.166667,0,0,0,2,2000,200.169721,43.909196,0,12,4
C10097,1162.770552,1,533.36,0,533.36,19.292323,0.666667,0,0.583333,0.083333,1,8,1200,632.227172,1395.576542,0,12,2
C10100,278.142977,1,1901.94,367,1534.94,0,1,0.166667,1,0,0,34,4500,1624.241905,168.938924,0,12,2
C10101,233.395491,0.818182,2025,2025,0,385.62779,0.75,0.75,0,0.083333,1,21,6000,2420.445403,118.312302,0.5,12,1
C10103,908.354652,1,231.35,0,231.35,944.183414,1,0,0.857143,0.142857,3,7,1000,161.97536,930.115009,0,7,2
C10105,2572.508325,1,64,64,0,248.690762,0.083333,0.083333,0,0.083333,2,1,2800,373.433094,3945.38539,0,12,4
C10106,2596.59993,1,0,0,0,1700.074178,0,0,0,0.5,9,0,3000,1794.421173,936.618592,0,12,3
C10107,251.151609,0.363636,0,0,0,1084.813197,0,0,0,0.166667,4,0,1200,3597.140559,308.399887,0.333333,12,4
C10109,1.691842,1,0,0,0,1148.820355,0,0,0,0.166667,3,0,1500,3.500505,8.56154,0,6,4
C10110,1157.168369,1,0,0,0,1249.682243,0,0,0,0.583333,10,0,3000,264.548484,326.316359,0,12,3
C10111,1560.533094,0.777778,749.57,209.77,539.8,4096.907903,0.666667,0.222222,0.444444,0.666667,19,7,6000,617.46628,414.824247,0,9,3
C10112,5499.895765,1,0,0,0,485.269985,0,0,0,0.333333,6,0,6000,1445.294493,2703.217084,0,12,3
C10113,815.427615,1,1936.01,1471.04,464.97,232.292989,0.916667,0.5,1,0.083333,1,27,2000,1759.115089,232.076866,0,12,2
C10114,5271.415483,1,0,0,0,2193.804998,0,0,0,0.25,7,0,6500,1479.003541,1321.46938,0,12,3
C10115,1557.750089,1,283.6,204.27,79.33,0,0.25,0.125,0.125,0,0,2,5000,424.829757,282.152847,0,8,4
C10117,2748.60877,1,0,0,0,434.319424,0,0,0,0.166667,4,0,3000,808.881566,1663.969183,0,12,4
C10118,4.607593,0.181818,44.55,44.55,0,0,0.083333,0.083333,0,0,0,1,6000,267.147917,88.028446,0,12,4
C10119,644.530629,1,268.68,0,268.68,0,1,0,1,0,0,12,1200,1557.68946,438.318992,0.166667,12,2
C10120,1716.622291,1,455.76,36,419.76,0,1,0.083333,1,0,0,13,1700,881.425823,1066.801936,0,12,2
C10121,1748.546186,1,74.98,74.98,0,216.032736,0.166667,0.166667,0,0.25,5,2,1800,650.440749,572.683934,0,12,4
C10122,4.503251,0.181818,60.24,0,60.24,0,0.166667,0,0.166667,0,0,2,4000,471.23242,110.528523,0.5,12,4
C10123,1841.359829,1,2280.58,0,2280.58,0,1,0,0.916667,0,0,20,1800,2463.113969,1947.918485,0,12,2
C10124,1375.845223,1,0,0,0,112.680045,0,0,0,0.25,3,0,1500,306.606914,736.789619,0,12,4
C10125,1300.593766,1,0,0,0,513.664928,0,0,0,0.166667,3,0,3000,386.660071,396.635432,0,12,4
C10127,1304.357015,1,1488.8,987.68,501.12,858.516418,0.833333,0.25,0.583333,0.166667,2,21,2000,612.674919,341.524735,0,12,2
C10128,1372.725482,1,992.25,651.4,340.85,667.818882,0.833333,0.25,0.75,0.25,3,18,4500,2899.141015,464.139521,0,12,2
C10130,2173.621597,1,200,200,0,201.404735,0.083333,0.083333,0,0.25,4,1,8000,495.968187,502.765453,0,12,4
C10131,1890.397414,1,2493.67,358,2135.67,0,1,0.083333,1,0,0,26,3000,916.285608,494.455132,0,12,2
C10132,44.910575,1,444.96,0,444.96,0,1,0,1,0,0,12,3000,426.881014,170.607827,1,12,2
C10133,847.013195,0.833333,0,0,0,1159.447747,0,0,0,0.333333,5,0,1200,101.664939,196.261567,0,6,4
C10134,1023.323593,1,253.37,196.37,57,0,0.916667,0.5,0.5,0,0,16,1200,463.956486,250.187987,0,12,2
C10137,2.957267,0.272727,202.72,0,202.72,0,0.833333,0,0.833333,0,0,10,4500,31.596193,53.011601,0,12,2
C10138,1068.434064,1,27,0,27,0,0.083333,0,0.083333,0,0,1,1200,219.692369,310.32899,0,12,4
C10139,330.273411,1,53.8,53.8,0,0,0.25,0.25,0,0,0,6,2500,429.112894,171.6492,0,12,4
C10140,1168.040482,0.909091,1113.1,801.19,311.91,0,0.833333,0.416667,0.75,0,0,26,6500,4239.684074,563.283083,0,12,2
C10141,3908.10498,1,1238.12,1159.3,78.82,1799.316522,0.666667,0.583333,0.166667,0.25,4,13,6000,1147.443975,870.610813,0,12,3
C10142,16.553858,0.272727,308.16,308.16,0,0,0.25,0.25,0,0,0,3,2500,291.719987,28.242152,0,12,4
C10143,192.037218,0.909091,1000,1000,0,0,0.083333,0.083333,0,0,0,1,1500,1128.431348,157.31769,0.090909,12,4
C10144,1216.893766,1,76.3,76.3,0,0,0.166667,0.166667,0,0,0,3,1200,533.085955,7781.671432,0,12,4
C10145,343.966223,1,3927.12,0,3927.12,0,1,0,1,0,0,34,5500,3626.983417,198.454649,0.333333,12,1
C10146,1464.19148,1,367.94,246.2,121.74,0,0.583333,0.25,0.416667,0,0,9,1500,719.945677,1546.605424,0,12,2
C10147,1268.352178,1,1533.28,0,1533.28,2294.002357,1,0,0.916667,0.333333,8,20,1200,3363.275481,2639.29297,0,12,2
C10149,1250.394614,0.909091,443.99,443.99,0,0,0.272727,0.272727,0,0,0,3,3500,273.823646,259.715939,0,11,4
C10150,2285.068731,1,0,0,0,1173.310874,0,0,0,0.166667,5,0,2500,381.672065,1003.265207,0,12,4
C10151,1958.327414,1,0,0,0,39.461591,0,0,0,0.083333,1,0,2100,404.070285,999.050377,0,12,4
C10153,411.727643,0.909091,1037.82,1037.82,0,0,0.5,0.5,0,0,0,12,6500,1461.416883,214.724575,0.1,12,4
C10154,1046.785259,0.555556,0,0,0,2908.400137,0,0,0,0.333333,13,0,3000,87.879339,630.679799,0,9,3
C10155,4677.242936,1,125,0,125,2406.229924,0.583333,0,0.5,0.5,6,10,5000,1087.866649,1092.737436,0,12,3
C10156,65.645186,0.545455,735.69,85.5,650.19,0,0.5,0.083333,0.416667,0,0,16,3000,1302.778971,140.751691,1,12,2
C10157,1389.598597,1,6058.03,3391.88,2666.15,3517.94774,1,0.166667,1,0.25,6,52,4000,6528.829703,550.971147,0,12,1
C10158,56.536572,1,499.92,0,499.92,0,1,0,1,0,0,12,3000,496.551862,194.502845,0.416667,12,2
C10159,1050.92679,1,150,0,150,114.462798,0.5,0,0.5,0.083333,1,6,1000,238.619393,5303.958597,0,12,4
C10160,62.635576,1,611.31,0,611.31,0,1,0,1,0,0,37,1500,514.6675,139.832021,0.916667,12,2
C10161,814.269404,0.875,0,0,0,1175.358928,0,0,0,0.125,1,0,1200,257.187514,205.446177,0,8,4
C10163,1026.874467,0.909091,153.96,153.96,0,0,0.083333,0.083333,0,0,0,2,8500,1676.090994,266.069794,0.090909,12,4
C10164,1522.831212,1,0,0,0,1883.483223,0,0,0,0.5,7,0,5000,1110.576652,364.832651,0,10,3
C10165,2016.049201,1,1372.57,620.77,751.8,3806.758546,0.75,0.583333,0.416667,0.75,27,16,5500,3582.470327,615.990784,0,12,3
C10166,5336.743176,1,680.97,680.97,0,4037.626724,0.583333,0.583333,0,0.416667,7,10,8500,1272.722158,1361.590608,0,12,3
C10167,683.971012,0.909091,294,145,149,281.669381,0.5,0.083333,0.416667,0.166667,2,7,3500,1578.37444,174.83612,0.1,12,4
C10168,749.127741,1,80.3,80.3,0,490.432946,0.166667,0.166667,0,0.25,4,3,1950,214.230371,2359.005614,0,12,4
C10169,2391.843543,1,3279.57,777.63,2501.94,0,1,0.583333,0.916667,0,0,119,5000,1226.566229,547.949563,0,12,1
C10170,26.787185,0.272727,114,114,0,0,0.083333,0.083333,0,0,0,1,1200,333.794157,124.494411,0,12,4
C10171,1180.758966,1,1274.54,396.24,878.3,0,0.833333,0.833333,0.416667,0,0,21,4500,1351.787519,285.440312,0,12,2
C10172,4613.570499,1,0,0,0,1728.341939,0,0,0,0.090909,1,0,6000,922.218961,1460.63522,0,11,3
C10173,126.121035,0.454545,590,590,0,0,0.083333,0.083333,0,0,0,1,2500,1471.72027,156.326043,0,12,4
C10174,6.903243,0.727273,145.01,0,145.01,0,0.75,0,0.75,0,0,9,3000,162.930205,66.97684,0.142857,12,2
C10175,537.002861,1,2275.97,2275.97,0,203.752607,0.583333,0.583333,0,0.083333,1,31,3000,1575.697754,179.584038,0.166667,12,1
C10176,3222.221884,1,356.4,356.4,0,1709.973124,0.166667,0.166667,0,0.166667,5,5,3500,835.314447,1171.515143,0,12,3
C10177,7370.257624,1,0,0,0,1194.995991,0,0,0,0.666667,8,0,7500,2278.457657,2202.491764,0,12,3
C10178,123.791796,0.727273,1202.5,0,1202.5,0,0.666667,0,0.583333,0,0,41,2500,1623.347254,194.037041,0.833333,12,2
C10179,1786.707643,1,0,0,0,1835.162486,0,0,0,0.25,3,0,3000,1612.796944,419.392234,0,12,4
C10180,971.681565,1,133.31,0,133.31,148.475392,0.583333,0,0.583333,0.166667,2,1,1000,496.155153,716.223809,0,12,4
C10181,3959.912911,1,0,0,0,158.159923,0,0,0,0.333333,4,0,4000,701.794235,1641.805004,0,12,3
C10183,77.273142,0.818182,963.61,0,963.61,0,0.833333,0,0.833333,0,0,14,3500,1218.480845,162.680718,0.2,12,2
C10184,915.981419,0.909091,2037.24,1587.24,450,0,0.833333,0.583333,0.666667,0,0,22,3500,411.176707,296.885026,0.125,12,2
C10185,653.004882,0.818182,2035.29,1259.58,775.71,0,0.75,0.5,0.5,0,0,29,9500,7590.280949,319.680283,0,12,1
C10186,233.393741,1,2346.94,1829.5,517.44,0,0.916667,0.75,0.75,0,0,39,4500,2029.208283,155.235425,0.875,12,1
C10188,3597.728209,1,1043,0,1043,836.723952,0.583333,0,0.5,0.083333,1,7,6000,1222.771295,913.580145,0,12,2
C10190,1134.726574,1,0,0,0,19.555003,0,0,0,0.083333,1,0,1200,78.603131,7639.575747,0,12,4
C10191,1564.180333,1,942.22,773.6,168.62,397.71148,1,0.5,1,0.25,3,36,2200,2852.584209,759.107707,0,12,2
C10192,61.109731,1,438.8,0,438.8,0,1,0,0.9,0,0,10,1500,367.594796,147.921516,0.75,10,2
C10193,1222.083116,1,1492.21,722.91,769.3,0,1,0.5,0.916667,0,0,27,7000,1409.156293,287.150626,0,12,2
C10196,621.386746,0.571429,178.83,178.83,0,913.392266,0.285714,0.285714,0,0.142857,1,4,1200,96.011391,128.725608,0,7,4
C10197,12.00682,1,126,0,126,0,1,0,1,0,0,12,3000,171.837196,105.323736,0.333333,12,2
C10199,661.199437,0.545455,150,150,0,1344.227865,0.083333,0.083333,0,0.25,8,1,2500,290.372365,340.787739,0,12,4
C10200,12.659909,0.272727,5252.04,2501,2751.04,0,1,0.166667,1,0,0,40,7350,4086.011768,29.259869,0.083333,12,1
C10201,1469.212816,1,220.69,64.09,156.6,0,0.454545,0.090909,0.272727,0,0,6,2000,416.172003,481.887743,0,11,4
C10202,80.054576,0.454545,315,315,0,0,0.083333,0.083333,0,0,0,1,300,1054.977467,190.131556,0,12,4
C10203,2894.348509,1,657.71,310.7,347.01,3384.772636,1,0.166667,0.916667,0.583333,17,21,3500,3166.765636,1006.614717,0,12,3
C10204,1426.870236,1,0,0,0,98.687898,0,0,0,0.083333,1,0,1500,324.97095,642.629679,0,12,4
C10205,1392.814234,1,845.51,773.17,72.34,0,0.416667,0.333333,0.083333,0,0,7,1700,622.228025,451.616978,0,12,4
C10206,910.682404,1,0,0,0,1435.307385,0,0,0,0.166667,4,0,1500,1687.978206,288.284812,0.083333,12,4
C10207,4359.126852,1,0,0,0,647.542041,0,0,0,0.333333,4,0,4500,972.402021,1340.320342,0,12,3
C10208,18.898762,0.363636,212.5,0,212.5,0,0.333333,0,0.25,0,0,7,1000,275.063898,59.26757,0.363636,12,4
C10209,325.47428,1,3030.4,1358.32,1672.08,92.358043,1,1,0.916667,0.083333,2,76,3000,3117.11898,179.10451,1,12,1
C10211,15.730229,1,163.24,55,108.24,0,1,0.083333,1,0,0,13,1200,179.844127,129.984859,0.166667,12,2
C10212,20.933565,0.363636,295.32,0,295.32,0,0.333333,0,0.333333,0,0,8,3000,315.301272,57.711988,0.181818,12,4
C10213,920.872172,0.888889,296.64,130,166.64,944.088231,0.555556,0.111111,0.333333,0.111111,3,5,1200,119.369967,535.455159,0,9,4
C10214,1064.037564,0.9,55.52,0,55.52,0,0.4,0,0.3,0,0,4,4000,2427.690302,717.747014,0,10,4
C10215,1.599053,0.272727,188,188,0,149.167024,0.083333,0.083333,0,0.083333,1,1,3000,356.465959,19.329034,0,12,4
C10216,198.31397,0.909091,487.61,487.61,0,0,0.166667,0.166667,0,0,0,8,3000,90.1719,198.000106,0,12,4
C10217,2712.176691,1,0,0,0,1835.81077,0,0,0,0.416667,12,0,3000,659.76111,1053.773309,0,12,3
C10218,3304.829014,1,2577.7,2577.7,0,0,0.583333,0.583333,0,0,0,23,5000,1411.392046,770.484199,0,12,1
C10219,39.665224,1,265.92,0,265.92,0,0.916667,0,0.916667,0,0,11,2000,295.676965,136.234257,0.363636,12,2
C10220,227.636073,1,3050.64,1070.12,1980.52,0,1,0.666667,0.916667,0,0,46,8000,2597.767395,168.621828,0.363636,12,1
C10221,311.357,0.818182,2283.07,2283.07,0,0,0.666667,0.666667,0,0,0,18,9000,2395.548466,178.054329,1,12,1
C10222,21.986298,0.454545,568.78,208.78,360,0,0.416667,0.083333,0.333333,0,0,10,3800,1448.573986,83.666499,0,12,4
C10224,867.444685,1,8751.49,6206.99,2544.5,0,1,1,0.666667,0,0,63,4000,8622.953253,209.975643,1,12,1
C10226,67.32184,1,685.15,567.65,117.5,0,1,1,0.416667,0,0,20,9000,526.120039,169.900038,0.3,12,2
C10227,912.857498,1,831.03,93,738.03,0,0.571429,0.285714,0.714286,0,0,8,5500,95.682798,195.497298,0,7,2
C10228,1455.84622,1,592.82,450.49,142.33,433.604875,0.75,0.333333,0.5,0.333333,5,15,1500,1226.999404,546.45889,0,12,2
C10229,63.685705,1,690.84,0,690.84,0,1,0,1,0,0,24,2500,676.624615,171.700116,1,12,2
C10230,965.605202,1,215,215,0,0,0.25,0.25,0,0,0,3,1000,398.080493,718.175953,0,12,4
C10231,173.658581,1,1210,0,1210,0,1,0,0.875,0,0,8,1000,977.652258,113.492537,0.833333,8,2
C10232,262.106758,1,2625.84,2625.84,0,0,1,1,0,0,0,38,4500,2489.949174,167.452035,1,12,1
C10233,294.381106,1,828,0,828,0,0.6,0,0.5,0,0,6,1000,542.108571,203.364386,0.125,10,2
C10234,1895.786893,1,2131.31,510.65,1620.66,0,1,0.666667,0.916667,0,0,29,5500,1095.198415,563.713408,0,12,1
C10235,937.434519,1,1124.88,1085.63,39.25,0,0.416667,0.333333,0.083333,0,0,9,2500,993.196174,252.572491,0,12,4
C10236,4804.072481,1,0,0,0,1116.128466,0,0,0,0.583333,11,0,5000,1589.654582,1456.920041,0,12,3
C10237,5227.616927,1,0,0,0,3819.594336,0,0,0,1,27,0,5200,4995.602345,5363.753233,0,12,3
C10238,3019.914063,1,0,0,0,397.601082,0,0,0,0.181818,2,0,3300,626.302973,954.804381,0,11,4
C10239,26.485924,1,256.44,0,256.44,0,0.666667,0,0.666667,0,0,12,1500,235.328971,162.324595,0.166667,12,2
C10240,950.717606,0.909091,0,0,0,1304.763283,0,0,0,0.166667,3,0,1500,1441.710359,263.781591,0,12,4
C10241,4533.066139,1,0,0,0,256.722556,0,0,0,0.083333,1,0,8000,1588.74192,1347.262562,0,12,3
C10242,3044.194951,1,934.21,112,822.21,75.711826,0.75,0.083333,0.666667,0.166667,2,38,3000,1268.702405,2050.327011,0,12,2
C10243,1101.085631,1,0,0,0,164.836712,0,0,0,0.166667,2,0,1200,270.956427,345.479341,0,12,4
C10245,18.218714,0.272727,89,0,89,0,0.083333,0,0.083333,0,0,1,4000,1095.921001,173.068884,1,12,4
C10246,110.400892,1,486.72,0,486.72,0,1,0,0.916667,0,0,12,1000,278.441988,207.232063,0.1,12,2
C10247,3232.346639,1,0,0,0,172.063782,0,0,0,0.333333,8,0,3500,664.715954,1567.921939,0,12,3
C10248,5805.32079,1,1724.75,1638.97,85.78,1878.058967,0.833333,0.75,0.666667,0.083333,1,29,7500,1351.901655,1419.470367,0,12,1
C10250,167.35668,1,288,288,0,189.705758,0.083333,0.083333,0,0.083333,1,3,6000,292.213876,168.244932,0,12,4
C10251,5559.733773,1,930,0,930,3639.817554,0.416667,0,0.333333,0.416667,14,13,7500,2519.858893,2376.25517,0,12,3
